iter	Passed	Remaining
0	152	152800
1	154	77016
2	154	51465
3	155	38798
4	156	31172
5	157	26082
6	158	22432
7	158	19712
8	159	17586
9	160	15877
10	160	14473
11	161	13321
12	162	12338
13	163	11491
14	163	10748
15	164	10115
16	165	9546
17	166	9074
18	167	8629
19	168	8233
20	168	7864
21	169	7527
22	170	7224
23	170	6941
24	171	6686
25	172	6446
26	172	6233
27	173	6029
28	174	5838
29	175	5660
30	175	5493
31	176	5342
32	177	5199
33	178	5060
34	178	4931
35	179	4807
36	180	4703
37	181	4605
38	184	4542
39	185	4442
40	185	4348
41	186	4254
42	187	4163
43	188	4089
44	189	4011
45	189	3936
46	190	3862
47	191	3791
48	191	3724
49	192	3660
50	193	3600
51	194	3546
52	195	3490
53	196	3435
54	197	3385
55	197	3335
56	198	3286
57	199	3235
58	199	3188
59	200	3142
60	201	3098
61	201	3055
62	202	3013
63	203	2974
64	204	2935
65	204	2897
66	205	2859
67	206	2824
68	206	2790
69	207	2759
70	208	2729
71	209	2699
72	210	2672
73	211	2643
74	211	2613
75	212	2586
76	213	2559
77	214	2532
78	214	2505
79	215	2481
80	216	2457
81	217	2433
82	217	2406
83	218	2382
84	219	2361
85	220	2339
86	220	2317
87	221	2297
88	222	2276
89	223	2255
90	223	2236
91	225	2221
92	225	2202
93	226	2183
94	227	2165
95	228	2148
96	228	2130
97	229	2113
98	230	2096
99	231	2080
100	231	2063
101	232	2048
102	233	2032
103	233	2015
104	234	2000
105	235	1983
106	235	1968
107	236	1954
108	237	1939
109	237	1924
110	238	1910
111	239	1899
112	240	1888
113	241	1875
114	241	1861
115	242	1848
116	243	1834
117	243	1822
118	244	1809
119	245	1797
120	245	1786
121	246	1774
122	247	1762
123	248	1753
124	249	1743
125	249	1733
126	250	1722
127	251	1712
128	252	1703
129	253	1693
130	253	1683
131	254	1675
132	255	1666
133	256	1657
134	257	1648
135	258	1639
136	258	1631
137	259	1621
138	260	1613
139	261	1604
140	262	1596
141	262	1587
142	263	1579
143	264	1571
144	265	1563
145	266	1556
146	266	1549
147	267	1541
148	268	1535
149	269	1528
150	270	1522
151	271	1515
152	272	1508
153	273	1501
154	274	1494
155	274	1487
156	275	1480
157	276	1474
158	277	1467
159	278	1461
160	278	1453
161	279	1447
162	280	1441
163	281	1436
164	282	1430
165	283	1424
166	284	1420
167	285	1414
168	286	1408
169	287	1403
170	288	1397
171	289	1393
172	290	1388
173	291	1382
174	292	1377
175	293	1371
176	293	1366
177	294	1360
178	295	1355
179	296	1350
180	297	1345
181	298	1340
182	299	1336
183	300	1332
184	301	1327
185	302	1322
186	303	1318
187	304	1314
188	305	1309
189	306	1304
190	306	1300
191	307	1295
192	308	1291
193	309	1287
194	310	1283
195	311	1279
196	312	1275
197	313	1270
198	314	1266
199	315	1262
200	316	1258
201	317	1254
202	318	1250
203	319	1246
204	320	1242
205	321	1238
206	322	1235
207	323	1231
208	324	1227
209	325	1224
210	326	1220
211	327	1216
212	328	1212
213	329	1209
214	330	1206
215	331	1202
216	332	1199
217	333	1195
218	334	1192
219	335	1188
220	336	1185
221	337	1181
222	338	1178
223	339	1174
224	340	1171
225	341	1168
226	342	1165
227	343	1162
228	344	1158
229	345	1156
230	346	1152
231	347	1148
232	348	1145
233	348	1142
234	349	1138
235	350	1136
236	352	1133
237	353	1130
238	354	1127
239	355	1124
240	356	1121
241	357	1118
242	358	1115
243	359	1113
244	360	1110
245	361	1108
246	362	1105
247	363	1102
248	364	1100
249	365	1097
250	367	1095
251	368	1092
252	369	1089
253	370	1087
254	371	1085
255	372	1082
256	373	1079
257	374	1077
258	375	1075
259	376	1072
260	378	1070
261	379	1068
262	380	1066
263	381	1063
264	382	1061
265	383	1058
266	384	1056
267	385	1053
268	386	1051
269	388	1049
270	389	1047
271	390	1045
272	391	1043
273	392	1040
274	393	1037
275	394	1035
276	395	1033
277	396	1030
278	397	1028
279	399	1026
280	400	1023
281	401	1021
282	402	1019
283	403	1017
284	404	1015
285	405	1013
286	407	1011
287	408	1009
288	409	1007
289	410	1005
290	411	1003
291	413	1002
292	414	1001
293	416	999
294	417	997
295	418	995
296	419	993
297	421	992
298	422	990
299	423	987
300	424	986
301	425	984
302	427	982
303	428	980
304	429	978
305	430	977
306	432	975
307	433	973
308	434	972
309	436	970
310	437	968
311	438	966
312	439	964
